Entity,Code,Year,Population
Africa (UN),UN_AFR,1982,512958548
Africa (UN),UN_AFR,1983,528232408
Africa (UN),UN_AFR,1984,543637779
Africa (UN),UN_AFR,1985,559663769
Africa (UN),UN_AFR,1986,575967004
Africa (UN),UN_AFR,1987,592601035
Africa (UN),UN_AFR,1988,609387393
Africa (UN),UN_AFR,1989,626358878
Africa (UN),UN_AFR,1990,643775035
Africa (UN),UN_AFR,1991,661103507
Africa (UN),UN_AFR,1992,678557816
Africa (UN),UN_AFR,1993,696621487
Africa (UN),UN_AFR,1994,714502385
Africa (UN),UN_AFR,1995,732695149
Africa (UN),UN_AFR,1996,751473489
Africa (UN),UN_AFR,1997,770384408
Africa (UN),UN_AFR,1998,789981452
Africa (UN),UN_AFR,1999,810079555
Africa (UN),UN_AFR,2000,830582526
Africa (UN),UN_AFR,2001,851690089
Africa (UN),UN_AFR,2002,873411062
Africa (UN),UN_AFR,2003,895734228
Africa (UN),UN_AFR,2004,918778214
Africa (UN),UN_AFR,2005,942546385
Africa (UN),UN_AFR,2006,966932140
Africa (UN),UN_AFR,2007,992055603
Africa (UN),UN_AFR,2008,1018065280
Africa (UN),UN_AFR,2009,1044777531
Africa (UN),UN_AFR,2010,1072216494
Africa (UN),UN_AFR,2011,1100148604
Africa (UN),UN_AFR,2012,1128843458
Africa (UN),UN_AFR,2013,1158780293
Africa (UN),UN_AFR,2014,1189220342
Africa (UN),UN_AFR,2015,1220075491
Africa (UN),UN_AFR,2016,1251208462
Africa (UN),UN_AFR,2017,1282902113
Africa (UN),UN_AFR,2018,1315409772
Africa (UN),UN_AFR,2019,1348005494
Africa (UN),UN_AFR,2020,1380821169
Africa (UN),UN_AFR,2021,1413753046
Africa (UN),UN_AFR,2022,1446883650
Africa (UN),UN_AFR,2023,1480770518
