Entity,Code,Year,Population
Asia (UN),UN_ASI,1982,2739365885
Asia (UN),UN_ASI,1983,2794764048
Asia (UN),UN_ASI,1984,2850199048
Asia (UN),UN_ASI,1985,2906963741
Asia (UN),UN_ASI,1986,2965641178
Asia (UN),UN_ASI,1987,3026396336
Asia (UN),UN_ASI,1988,3087409013
Asia (UN),UN_ASI,1989,3148471019
Asia (UN),UN_ASI,1990,3209882606
Asia (UN),UN_ASI,1991,3269006370
Asia (UN),UN_ASI,1992,3325622560
Asia (UN),UN_ASI,1993,3380865845
Asia (UN),UN_ASI,1994,3434524761
Asia (UN),UN_ASI,1995,3487680501
Asia (UN),UN_ASI,1996,3540729987
Asia (UN),UN_ASI,1997,3593265317
Asia (UN),UN_ASI,1998,3645256153
Asia (UN),UN_ASI,1999,3696551715
Asia (UN),UN_ASI,2000,3747780310
Asia (UN),UN_ASI,2001,3798918119
Asia (UN),UN_ASI,2002,3848340930
Asia (UN),UN_ASI,2003,3896798913
Asia (UN),UN_ASI,2004,3945396132
Asia (UN),UN_ASI,2005,3993926580
Asia (UN),UN_ASI,2006,4042825703
Asia (UN),UN_ASI,2007,4091636908
Asia (UN),UN_ASI,2008,4140358383
Asia (UN),UN_ASI,2009,4189938668
Asia (UN),UN_ASI,2010,4239822664
Asia (UN),UN_ASI,2011,4289496399
Asia (UN),UN_ASI,2012,4339608811
Asia (UN),UN_ASI,2013,4388941156
Asia (UN),UN_ASI,2014,4436946289
Asia (UN),UN_ASI,2015,4483307895
Asia (UN),UN_ASI,2016,4528415184
Asia (UN),UN_ASI,2017,4572478814
Asia (UN),UN_ASI,2018,4613623510
Asia (UN),UN_ASI,2019,4652385287
Asia (UN),UN_ASI,2020,4688113368
Asia (UN),UN_ASI,2021,4718316369
Asia (UN),UN_ASI,2022,4747661026
Asia (UN),UN_ASI,2023,4778004486
