Entity,Code,Year,Population
Europe,OWID_EUR,1982,701148290
Europe,OWID_EUR,1983,703986056
Europe,OWID_EUR,1984,706830244
Europe,OWID_EUR,1985,709671968
Europe,OWID_EUR,1986,712736046
Europe,OWID_EUR,1987,715923434
Europe,OWID_EUR,1988,719141834
Europe,OWID_EUR,1989,722202130
Europe,OWID_EUR,1990,724928050
Europe,OWID_EUR,1991,727282716
Europe,OWID_EUR,1992,728427317
Europe,OWID_EUR,1993,728832243
Europe,OWID_EUR,1994,729729628
Europe,OWID_EUR,1995,730243560
Europe,OWID_EUR,1996,730250402
Europe,OWID_EUR,1997,730322963
Europe,OWID_EUR,1998,729778930
Europe,OWID_EUR,1999,729149200
Europe,OWID_EUR,2000,729112140
Europe,OWID_EUR,2001,729202135
Europe,OWID_EUR,2002,730108237
Europe,OWID_EUR,2003,731376246
Europe,OWID_EUR,2004,732264283
Europe,OWID_EUR,2005,733082921
Europe,OWID_EUR,2006,733738770
Europe,OWID_EUR,2007,734969344
Europe,OWID_EUR,2008,736640722
Europe,OWID_EUR,2009,738045340
Europe,OWID_EUR,2010,739273383
Europe,OWID_EUR,2011,740505916
Europe,OWID_EUR,2012,741624507
Europe,OWID_EUR,2013,742654889
Europe,OWID_EUR,2014,743842719
Europe,OWID_EUR,2015,745456776
Europe,OWID_EUR,2016,747240427
Europe,OWID_EUR,2017,748683737
Europe,OWID_EUR,2018,749835845
Europe,OWID_EUR,2019,750791014
Europe,OWID_EUR,2020,750826484
Europe,OWID_EUR,2021,749931028
Europe,OWID_EUR,2022,748296168
Europe,OWID_EUR,2023,746948109
