Entity,Code,Year,Population
North America,OWID_NAM,1982,384744475
North America,OWID_NAM,1983,389995274
North America,OWID_NAM,1984,395240041
North America,OWID_NAM,1985,400471527
North America,OWID_NAM,1986,405669376
North America,OWID_NAM,1987,410877360
North America,OWID_NAM,1988,416201801
North America,OWID_NAM,1989,421643657
North America,OWID_NAM,1990,427527970
North America,OWID_NAM,1991,433792318
North America,OWID_NAM,1992,440060892
North America,OWID_NAM,1993,446185596
North America,OWID_NAM,1994,452083583
North America,OWID_NAM,1995,457858573
North America,OWID_NAM,1996,463530247
North America,OWID_NAM,1997,469106576
North America,OWID_NAM,1998,474677559
North America,OWID_NAM,1999,480238641
North America,OWID_NAM,2000,485805117
North America,OWID_NAM,2001,491432309
North America,OWID_NAM,2002,497028245
North America,OWID_NAM,2003,502587589
North America,OWID_NAM,2004,508166874
North America,OWID_NAM,2005,513798980
North America,OWID_NAM,2006,519545243
North America,OWID_NAM,2007,525495121
North America,OWID_NAM,2008,531570001
North America,OWID_NAM,2009,537617447
North America,OWID_NAM,2010,543593308
North America,OWID_NAM,2011,549552428
North America,OWID_NAM,2012,555486393
North America,OWID_NAM,2013,561345659
North America,OWID_NAM,2014,567078666
North America,OWID_NAM,2015,572637322
North America,OWID_NAM,2016,578186332
North America,OWID_NAM,2017,583669319
North America,OWID_NAM,2018,589049569
North America,OWID_NAM,2019,594346844
North America,OWID_NAM,2020,598250669
North America,OWID_NAM,2021,600876349
North America,OWID_NAM,2022,604356255
North America,OWID_NAM,2023,608770547
