Entity,Code,Year,Population
South America,OWID_SAM,1982,251463267
South America,OWID_SAM,1983,256993747
South America,OWID_SAM,1984,262567857
South America,OWID_SAM,1985,268127340
South America,OWID_SAM,1986,273653738
South America,OWID_SAM,1987,279159631
South America,OWID_SAM,1988,284663487
South America,OWID_SAM,1989,290157633
South America,OWID_SAM,1990,295639583
South America,OWID_SAM,1991,301035777
South America,OWID_SAM,1992,306386108
South America,OWID_SAM,1993,311712472
South America,OWID_SAM,1994,316983654
South America,OWID_SAM,1995,322239766
South America,OWID_SAM,1996,327454409
South America,OWID_SAM,1997,332642670
South America,OWID_SAM,1998,337868219
South America,OWID_SAM,1999,343039488
South America,OWID_SAM,2000,348018743
South America,OWID_SAM,2001,352811861
South America,OWID_SAM,2002,357458493
South America,OWID_SAM,2003,361970820
South America,OWID_SAM,2004,366372166
South America,OWID_SAM,2005,370696350
South America,OWID_SAM,2006,374925352
South America,OWID_SAM,2007,379035651
South America,OWID_SAM,2008,383025009
South America,OWID_SAM,2009,386904378
South America,OWID_SAM,2010,390701117
South America,OWID_SAM,2011,394477912
South America,OWID_SAM,2012,398255319
South America,OWID_SAM,2013,402022546
South America,OWID_SAM,2014,405812435
South America,OWID_SAM,2015,409619969
South America,OWID_SAM,2016,413395039
South America,OWID_SAM,2017,417045362
South America,OWID_SAM,2018,420440405
South America,OWID_SAM,2019,423548291
South America,OWID_SAM,2020,426213552
South America,OWID_SAM,2021,428331419
South America,OWID_SAM,2022,430492816
South America,OWID_SAM,2023,433024223
